file,lines,section
ANOVA,118,tidy
Bootstrap,165,tidy
CategoricalVariables,137,tidy
ChiSquare,98,tidy
DescribingData,44,tidy
InferenceSingleMean,169,tidy
InferenceSingleProportion,203,tidy
QuantitativeVariables,180,tidy
Randomization,160,tidy
RegressionInference,95,tidy
Regression,119,tidy
TwoSample,187,tidy
ANOVA,122,formula
Bootstrap,147,formula
CategoricalVariables,109,formula
ChiSquare,89,formula
DescribingData,45,formula
InferenceSingleMean,136,formula
InferenceSingleProportion,161,formula
QuantitativeVariables,134,formula
Randomization,150,formula
RegressionInference,102,formula
Regression,111,formula
TwoSample,146,formula
