sept_active,sept_compute,oct_active,oct_compute,dec_active,dec_compute
1,8.31660000000001,1,20.70800000000002,1,13.159600000000012
1,6.529700000000005,1,14.161600000000009,1,10.08680000000001
1,4.275200000000004,1,16.68330000000001,1,18.704000000000015
1,7.515000000000006,1,16.950500000000016,1,17.18430000000001
2,6.479600000000008,1,28.172900000000016,1,24.89970000000002
1,12.307900000000014,1,24.866300000000024,1,11.055400000000006
3,7.748800000000006,1,13.927800000000012,1,10.921800000000008
1,5.460900000000005,1,17.05070000000002,1,0.6679999999999997
1,15.63120000000002,1,36.77340000000001,1,12.641900000000007
1,3.206400000000002,1,9.468900000000007,1,7.9659000000000075
1,11.523000000000017,1,20.207000000000015,1,24.966500000000025
2,19.689300000000014,1,22.428100000000015,1,15.84830000000001
1,4.492300000000005,1,13.309900000000017,1,7.197700000000007
1,9.034700000000008,1,17.568400000000008,1,11.489600000000006
1,7.264500000000007,1,16.34930000000002,1,9.819600000000008
1,5.0434000000000045,1,3.974600000000004,0,0
1,13.877700000000013,1,26.03530000000002,1,8.333300000000008
1,10.387400000000008,1,13.109500000000008,1,16.299200000000013
1,6.2959000000000085,1,3.189700000000003,0,0
1,14.679300000000021,1,21.359300000000015,1,23.313200000000027
1,17.75210000000001,1,35.65450000000002,1,13.861000000000008
